Стрим;Арх. Компонент;Название в смарт-анкете СУМ;Тип работы;Наличие норматива;Параметр-триггер;Параметры трудоёмкости;Коэффициенты параметров трудоёмкости;Формула;Результат выбора
Источники данных;Арх. Компонент. Процесс обработки данных;Этап 217. Составление модели данных s2t;Опциональная;1,2;Тип системы-источника (внешний);"1. Тип работ
2. Двусторонний обмен данными";"— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Двусторонний обмен данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 1,2 чд.
Источники данных;Арх. Компонент. Процесс обработки данных;Этап 217. Составление ТР;Опциональная;1,5;Тип системы-источника (внешний);"1. Тип работ
2. Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?
3. Способ предоставления данных заказчику
4. Наличие конфиденциальных данных
5. Требуется хэширование/ шифрование
6. Двусторонний обмен данными";"— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?: Да→0.9; Нет→1.1; Неизвестно→1
— Способ предоставления данных заказчику: Непосредственно→0.8; Опосредованно→1.2; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?] × [Способ предоставления данных заказчику] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Двусторонний обмен данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 1,5 чд.
Источники данных;Арх. Компонент. Процесс обработки данных;Этап 217. Подготовка АЗ для заключения NDA, согласование содержания NDA;Опциональная;0,6;Тип системы-источника (внешний);"1. Тип работ
2. Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?
3. Способ предоставления данных заказчику
4. NDA
5. Наличие конфиденциальных данных
6. Двусторонний обмен данными";"— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?: Да→0.9; Нет→1.1; Неизвестно→1
— Способ предоставления данных заказчику: Непосредственно→0.8; Опосредованно→1.2; Неизвестно→1
— NDA: Стандартное→0.75; Нестандартное→1.25; Не требуется→0; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?] × [Способ предоставления данных заказчику] × [NDA] × [Наличие конфиденциальных данных] × [Двусторонний обмен данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,6 чд.
Источники данных;Арх. Компонент. Процесс обработки данных;Этап 217. Согласование интеграции с ИБ и ЮБ;Опциональная;0,6;Тип системы-источника (внешний);"1. Тип работ
2. Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?
3. Наличие конфиденциальных данных
4. Двусторонний обмен данными";"— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?: Да→0.9; Нет→1.1; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?] × [Наличие конфиденциальных данных] × [Двусторонний обмен данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,6 чд.
Источники данных;Арх. Компонент. Процесс обработки данных;Этап 217. Согласование АР, участие в Тестировании и ПСИ;Опциональная;0,9;Тип системы-источника (внешний);"1. Тип работ
2. Наличие конфиденциальных данных
3. Требуется хэширование/ шифрование
4. Двусторонний обмен данными";"— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Двусторонний обмен данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,9 чд.
Источники данных;Арх. Компонент. Процесс обработки данных;Этап 217. Доработка внутренней документации и информационных ресурсов группы;Опциональная;0,9;Тип системы-источника (внешний);"1. Тип работ
2. Способ предоставления данных заказчику";"— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Способ предоставления данных заказчику: Непосредственно→0.8; Опосредованно→1.2; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Способ предоставления данных заказчику]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,9 чд.
Источники данных;Арх. Компонент. Процесс обработки данных;Этап 218. Интервьюирование заказчика, подтверждение финансирования и обработка RDS;Опциональная;0,7;Тип системы-источника (внешний);1. Сложность реализации;"— Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,7 чд.
Источники данных;Арх. Компонент. Процесс обработки данных;Этап 218. Планирование и работа с бэклогом;Опциональная;1,1;Тип системы-источника (внешний);1. Сложность реализации;"— Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 1,1 чд.
Источники данных;Арх. Компонент. Процесс обработки данных;Этап 218. Сбор и анализ требований;Опциональная;1,1;Тип системы-источника (внешний);1. Сложность реализации;"— Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 1,1 чд.
Источники данных;Арх. Компонент. Процесс обработки данных;Этап 218. Составление модели данных s2t;Опциональная;1,2;Тип системы-источника (внешний);—;нет (только норматив).;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив; 0,1) = Норматив  (параметров трудоёмкости нет)";Выбор триггера (иначе Итог = 0). Норматив: 1,2 чд.
Источники данных;Арх. Компонент. Процесс обработки данных;Этап 218. Составление БТ;Опциональная;1,3;Тип системы-источника (внешний);1. Сложность реализации;"— Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 1,3 чд.
Источники данных;Арх. Компонент. Процесс обработки данных;Этап 218. Согласование артефактов Озера данных, участие в Тестировании и ПСИ;Опциональная;0,7;Тип системы-источника (внешний);1. Сложность реализации;"— Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,7 чд.
Источники данных;Арх. Компонент. Процесс обработки данных;Этап 218. Доработка внутренней документации и информационных ресурсов группы;Опциональная;0,9;Тип системы-источника (внешний);—;нет (только норматив).;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив; 0,1) = Норматив  (параметров трудоёмкости нет)";Выбор триггера (иначе Итог = 0). Норматив: 0,9 чд.
Источники данных;Арх. Компонент. Объект данных;Этап 218. Интервьюирование заказчика, подтверждение финансирования и обработка RDS;Опциональная;0,7;Тип системы-источника (внешний);1. Сложность реализации;"— Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,7 чд.
Источники данных;Арх. Компонент. Объект данных;Этап 218. Планирование и работа с бэклогом;Опциональная;1,1;Тип системы-источника (внешний);1. Сложность реализации;"— Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 1,1 чд.
Источники данных;Арх. Компонент. Объект данных;Этап 218. Сбор и анализ требований;Опциональная;1,1;Тип системы-источника (внешний);1. Сложность реализации;"— Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 1,1 чд.
Источники данных;Арх. Компонент. Объект данных;Этап 218. Составление модели данных s2t;Опциональная;1,2;Тип системы-источника (внешний);—;нет (только норматив).;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив; 0,1) = Норматив  (параметров трудоёмкости нет)";Выбор триггера (иначе Итог = 0). Норматив: 1,2 чд.
Источники данных;Арх. Компонент. Объект данных;Этап 218. Составление БТ;Опциональная;1,3;Тип системы-источника (внешний);1. Сложность реализации;"— Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 1,3 чд.
Источники данных;Арх. Компонент. Объект данных;Этап 218. Согласование артефактов Озера данных, участие в Тестировании и ПСИ;Опциональная;0,7;Тип системы-источника (внешний);1. Сложность реализации;"— Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность реализации]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,7 чд.
Источники данных;Арх. Компонент. Объект данных;Этап 218. Доработка внутренней документации и информационных ресурсов группы;Опциональная;0,9;Тип системы-источника (внешний);—;нет (только норматив).;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив; 0,1) = Норматив  (параметров трудоёмкости нет)";Выбор триггера (иначе Итог = 0). Норматив: 0,9 чд.
Источники данных;Источники данных. Локальный параметр;Этап 219. Сбор и анализ требований по изменениям;Опциональная;2;"Не понятно условие появления работ
Тип системы-источника (внешний)";"1. Объем изменений в ТИС
2. Необходимость изучения регламентов Банка
3. Необходимо пересогласование артефакта";"— Объем изменений в ТИС: Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
— Необходимость изучения регламентов Банка: Да→1; Нет→0; Неизвестно→1
— Необходимо пересогласование артефакта: Да→1; Нет→0; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Объем изменений в ТИС] × [Необходимость изучения регламентов Банка] × [Необходимо пересогласование артефакта]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 2 чд.
Источники данных;Источники данных. Локальный параметр;Этап 219. Системный анализ;Опциональная;3,8;Тип системы-источника (внешний);"1. Объем изменений в ТИС
2. Необходимость изучения регламентов Банка
3. Необходимо пересогласование артефакта";"— Объем изменений в ТИС: Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
— Необходимость изучения регламентов Банка: Да→1; Нет→0; Неизвестно→1
— Необходимо пересогласование артефакта: Да→1; Нет→0; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Объем изменений в ТИС] × [Необходимость изучения регламентов Банка] × [Необходимо пересогласование артефакта]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 3,8 чд.
Источники данных;Источники данных. Локальный параметр;Этап 219. Изучение регламентов Банка по ведению редактируемого раздела/ов;Опциональная;0,8;Тип системы-источника (внешний);"1. Объем изменений в ТИС
2. Необходимость изучения регламентов Банка
3. Необходимо пересогласование артефакта";"— Объем изменений в ТИС: Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
— Необходимость изучения регламентов Банка: Да→1; Нет→0; Неизвестно→1
— Необходимо пересогласование артефакта: Да→1; Нет→0; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Объем изменений в ТИС] × [Необходимость изучения регламентов Банка] × [Необходимо пересогласование артефакта]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,8 чд.
Источники данных;Источники данных. Локальный параметр;Этап 219. Редактирование артефакта;Опциональная;4,4;Тип системы-источника (внешний);"1. Объем изменений в ТИС
2. Необходимость изучения регламентов Банка
3. Необходимо пересогласование артефакта";"— Объем изменений в ТИС: Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
— Необходимость изучения регламентов Банка: Да→1; Нет→0; Неизвестно→1
— Необходимо пересогласование артефакта: Да→1; Нет→0; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Объем изменений в ТИС] × [Необходимость изучения регламентов Банка] × [Необходимо пересогласование артефакта]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 4,4 чд.
Источники данных;Источники данных. Локальный параметр;Этап 219. Согласование артефакта;Опциональная;0,8;Тип системы-источника (внешний);"1. Объем изменений в ТИС
2. Необходимость изучения регламентов Банка
3. Необходимо пересогласование артефакта";"— Объем изменений в ТИС: Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
— Необходимость изучения регламентов Банка: Да→1; Нет→0; Неизвестно→1
— Необходимо пересогласование артефакта: Да→1; Нет→0; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Объем изменений в ТИС] × [Необходимость изучения регламентов Банка] × [Необходимо пересогласование артефакта]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,8 чд.
Источники данных;Арх. Компонент. Объект данных;Этап 220. Планирование и работа с бэклогом;Опциональная;0,7;Тип системы-источника (внешний);"1. Тип работ
2. Способ предоставления данных заказчику
3. Наличие конфиденциальных данных
4. Требуется хэширование/ шифрование
5. Двусторонний обмен данными";"— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Способ предоставления данных заказчику: Непосредственно→0.8; Опосредованно→1.2; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Способ предоставления данных заказчику] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Двусторонний обмен данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,7 чд.
Источники данных;Арх. Компонент. Объект данных;Этап 220. Согласование и корректировка входящих требований;Опциональная;0,8;Тип системы-источника (внешний);"— (трудоёмкость считается как доля от Этапа 217; параметры те же, что у соответствующей работы Этапа 217)";Kдоля(Этап 217) — те же параметры, что у соответствующей работы Этапа 217.;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × Kдоля(Этап 217); 0,1)  — доля от соответствующей работы Этапа 217";Выбор триггера (иначе Итог = 0). Норматив: 0,8 чд.
Источники данных;Арх. Компонент. Объект данных;Этап 220. Согласование и проверка модели данных s2t;Опциональная;0,5;Тип системы-источника (внешний);"— (трудоёмкость считается как доля от Этапа 217; параметры те же, что у соответствующей работы Этапа 217)";Kдоля(Этап 217) — те же параметры, что у соответствующей работы Этапа 217.;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × Kдоля(Этап 217); 0,1)  — доля от соответствующей работы Этапа 217";Выбор триггера (иначе Итог = 0). Норматив: 0,5 чд.
Источники данных;Арх. Компонент. Объект данных;Этап 220. Работа над артефактом АР;Опциональная;2,3;Тип системы-источника (внешний);"1. Тип работ
2. Наличие конфиденциальных данных
3. Требуется хэширование/ шифрование
4. Двусторонний обмен данными";"— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Двусторонний обмен данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 2,3 чд.
Источники данных;Арх. Компонент. Объект данных;Этап 220. Работа над артефактами ТПиС, ПМИ;Опциональная;1;Тип системы-источника (внешний);"1. Тип работ
2. Наличие конфиденциальных данных
3. Требуется хэширование/ шифрование
4. Двусторонний обмен данными";"— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Двусторонний обмен данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 1 чд.
Источники данных;Арх. Компонент. Объект данных;Этап 220. Работы по разворачиванию и настройке новой инфраструктуры;Опциональная;1,7;Тип системы-источника (внешний);"1. Тип работ
2. Наличие конфиденциальных данных
3. Требуется хэширование/ шифрование
4. Двусторонний обмен данными";"— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Двусторонний обмен данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 1,7 чд.
Источники данных;Арх. Компонент. Объект данных;Этап 220. Согласование артефактов и заведение заявок на доступы;Опциональная;1;Тип системы-источника (внешний);"1. Тип работ
2. Наличие конфиденциальных данных
3. Требуется хэширование/ шифрование
4. Двусторонний обмен данными";"— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Двусторонний обмен данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 1 чд.
Источники данных;Арх. Компонент. Объект данных;Этап 220. Разработка Решения;Опциональная;6;Тип системы-источника (внешний);"1. Тип работ
2. Наличие конфиденциальных данных
3. Требуется хэширование/ шифрование
4. Двусторонний обмен данными";"— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Двусторонний обмен данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 6 чд.
Источники данных;Арх. Компонент. Объект данных;Этап 220. Тестирование и отладка Решения;Опциональная;1,5;Тип системы-источника (внешний);"1. Тип работ
2. Наличие конфиденциальных данных
3. Требуется хэширование/ шифрование
4. Двусторонний обмен данными";"— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Двусторонний обмен данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 1,5 чд.
Источники данных;Арх. Компонент. Объект данных;Этап 220. Проведение ИФТ Решения;Опциональная;0,8;Тип системы-источника (внешний);"1. Тип работ
2. Наличие конфиденциальных данных
3. Требуется хэширование/ шифрование
4. Двусторонний обмен данными";"— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Двусторонний обмен данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,8 чд.
Источники данных;Арх. Компонент. Объект данных;Этап 220. Проведение Тестирования Решения и ПСИ;Опциональная;1;Тип системы-источника (внешний);"1. Тип работ
2. Наличие конфиденциальных данных
3. Требуется хэширование/ шифрование
4. Двусторонний обмен данными";"— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Двусторонний обмен данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 1 чд.
Источники данных;Арх. Компонент. Объект данных;Этап 220. Вывод Решения в Промышленную эксплуатацию;Опциональная;0,4;Тип системы-источника (внешний);"1. Тип работ
2. Наличие конфиденциальных данных
3. Требуется хэширование/ шифрование
4. Двусторонний обмен данными";"— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Двусторонний обмен данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,4 чд.
Источники данных;Арх. Компонент. Объект данных;Этап 220. Доработка внутренней документации и информационных ресурсов группы;Опциональная;0,4;Тип системы-источника (внешний);"1. Тип работ
2. Наличие конфиденциальных данных
3. Требуется хэширование/ шифрование
4. Двусторонний обмен данными";"— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Двусторонний обмен данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,4 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 230. Планирование и работа с бэклогом;Опциональная;0,4;Тип системы-источника (внешний);"1. Тип работ
2. Способ предоставления данных заказчику
3. Сложность реализации
4. Наличие конфиденциальных данных
5. Требуется хэширование/ шифрование
6. Двусторонний обмен данными";"— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Способ предоставления данных заказчику: Непосредственно→0.8; Опосредованно→1.2; Неизвестно→1
— Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Способ предоставления данных заказчику] × [Сложность реализации] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Двусторонний обмен данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,4 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 230. Постановка источника на мониторинг;Опциональная;3,9;Тип системы-источника (внешний);"1. Тип работ
2. Сложность реализации
3. Наличие конфиденциальных данных
4. Требуется хэширование/ шифрование
5. Двусторонний обмен данными";"— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Сложность реализации: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Сложность реализации] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Двусторонний обмен данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 3,9 чд.
